manufacturer,model,submodel,year,hand,mileage,engine_liters,horsepower,fuel,transmission,drive_type,body_color,price
Mazda,323,LX,2002,4,242000,1.6,105,Gasoline,Automatic,FWD,White,5000
Mazda,Cx 30,Comfort,2024,2,14580,2.0,165,Gasoline,Automatic,FWD,White,130000
Mazda,323,LX,2003,3,259316,1.6,105,Gasoline,Automatic,FWD,Beige,4500
Mazda,3,,2009,2,215000,1.6,105,Gasoline,Automatic,FWD,Beige,10000
Mazda,Cx 5,Luxury,2016,3,100000,2.0,165,Gasoline,Automatic,FWD,White,65000
Mazda,3,Spirit,2021,2,77000,2.0,165,Gasoline,Automatic,FWD,Black,85000
Mazda,5,Executive,2014,2,196000,2.0,144,Gasoline,Automatic,FWD,Silver,36500
Mazda,323,GLX,1999,3,290000,1.8,115,Gasoline,Automatic,FWD,White,10000
Mazda,6,Executive,2004,1,289371,2.0,147,Gasoline,Automatic,FWD,Silver,6900
Mazda,3,Active,2011,4,216000,1.6,105,Gasoline,Automatic,FWD,Silver,10000
Mazda,Cx 5,Executive,2020,1,54000,2.0,165,Gasoline,Automatic,FWD,Black,117000
Mazda,Cx 30,Comfort,2024,1,3800,2.0,165,Gasoline,Automatic,FWD,Silver,142600
Mazda,3,,2008,2,220000,1.6,105,Gasoline,Automatic,FWD,Purple,9280
Mazda,3,,2007,3,340000,1.6,105,Gasoline,Automatic,FWD,Beige,9000
Mazda,Cx 5,Executive,2022,1,38600,2.0,165,Gasoline,Automatic,FWD,Black,134000
Mazda,5,S,2007,3,240000,2.0,145,Gasoline,Automatic,FWD,Silver,8000
Mazda,Cx 5,Executive,2017,3,100000,2.0,165,Gasoline,Automatic,FWD,White,81000
Mazda,5,,2011,3,248000,2.0,144,Gasoline,Automatic,FWD,Black,29000
Mazda,Cx 5,,2013,2,211000,2.0,155,Gasoline,Automatic,FWD,White,38000
Mazda,5,,2006,4,155000,2.0,145,Gasoline,Automatic,FWD,Green,8000
Mazda,2,Dynamic,2009,1,241675,1.5,103,Gasoline,Automatic,FWD,White,13000
Mazda,323,,2004,2,170000,1.6,105,Gasoline,Automatic,FWD,Beige,6000
Mazda,3,Spirit,2022,1,30000,2.0,165,Gasoline,Automatic,FWD,White,134000
Mazda,3,Comfort,2004,4,201000,1.6,105,Gasoline,Automatic,FWD,Blue,8000
Mazda,3,Comfort,2007,1,260000,1.6,105,Gasoline,Automatic,FWD,Grey,6000
Mazda,5,Executive,2010,3,325000,2.0,145,Gasoline,Automatic,FWD,Ruby,8000
Mazda,3,Active,2010,4,250000,1.6,105,Gasoline,Automatic,FWD,Light Grey,13500
Mazda,6,,2019,2,125000,2.5,195,Gasoline,Automatic,FWD,Red,82000
Mazda,3,Sport,2017,4,230000,2.0,165,Gasoline,Automatic,FWD,Black,65000
Mazda,Cx 5,Luxury,2013,2,280000,2.0,155,Gasoline,Automatic,FWD,White,44000
Mazda,3,Spirit,2005,2,280000,2.0,150,Gasoline,Automatic,FWD,Light blue,8500
Mazda,5,Luxury,2010,1,220000,2.0,145,Gasoline,Automatic,FWD,Grey,23000
Mazda,Cx 30,Executive,2020,1,87450,2.0,165,Gasoline,Automatic,FWD,White,90000
Mazda,Cx 30,Executive,2021,1,100000,2.0,165,Gasoline,Automatic,FWD,White,95000
Mazda,2,Dynamic,2009,1,241675,1.5,103,Gasoline,Automatic,FWD,White,13000
Mazda,323,,2004,2,170000,1.6,105,Gasoline,Automatic,FWD,Beige,6000
Mazda,3,Spirit,2022,1,30000,2.0,165,Gasoline,Automatic,FWD,White,134000
Mazda,3,Comfort,2004,4,201000,1.6,105,Gasoline,Automatic,FWD,Blue,8000
Mazda,3,Comfort,2007,1,260000,1.6,105,Gasoline,Automatic,FWD,Grey,6000
Mazda,5,Executive,2010,3,325000,2.0,145,Gasoline,Automatic,FWD,Ruby,8000
Mazda,3,Active,2010,4,250000,1.6,105,Gasoline,Automatic,FWD,Light Grey,13500
Mazda,6,,2019,2,125000,2.5,195,Gasoline,Automatic,FWD,Red,82000
Mazda,3,Sport,2017,4,230000,2.0,165,Gasoline,Automatic,FWD,Black,65000
Mazda,Cx 5,Luxury,2013,2,280000,2.0,155,Gasoline,Automatic,FWD,White,44000
Mazda,Cx 5,,2015,3,106000,2.5,188,Gasoline,Automatic,AWD,Grey,71000
Mazda,6,Luxury,2018,4,49500,2.0,165,Gasoline,Automatic,FWD,Silver,74000
Mazda,3,Black Edition,2022,1,43000,2.0,165,Gasoline,Automatic,FWD,White,120000
Mazda,3,Sport,2019,3,137000,2.0,165,Gasoline,Automatic,FWD,White,60000
Mazda,2,Dynamic,2015,3,132000,1.5,103,Gasoline,Automatic,FWD,Grey,38500
Mazda,3,Active,2005,3,296775,1.6,105,Gasoline,Automatic,FWD,Silver,6900
Mazda,Cx 5,Executive,2022,1,38600,2.0,165,Gasoline,Automatic,FWD,Black,134000
Mazda,5,S,2007,3,240000,2.0,145,Gasoline,Automatic,FWD,Silver,8000
Mazda,Cx 5,Executive,2017,3,100000,2.0,165,Gasoline,Automatic,FWD,White,81000
Mazda,5,,2011,3,248000,2.0,144,Gasoline,Automatic,FWD,Black,29000
Mazda,Cx 5,,2013,2,211000,2.0,155,Gasoline,Automatic,FWD,White,38000
Mazda,5,,2006,4,155000,2.0,145,Gasoline,Automatic,FWD,Green,8000
Mazda,3,Active,2005,3,327000,1.6,105,Gasoline,Automatic,FWD,White,8500
Mazda,3,Active,2012,3,290000,1.6,105,Gasoline,Automatic,FWD,Silver,14000
Mazda,5,S,2007,3,300000,2.0,145,Gasoline,Automatic,FWD,Grey,9000
Mazda,3,Spirit,2023,1,26000,2.0,165,Gasoline,Automatic,FWD,Black,135000
Mazda,3,Active,2005,3,327000,1.6,105,Gasoline,Automatic,FWD,White,8500
Mazda,3,Active,2012,3,290000,1.6,105,Gasoline,Automatic,FWD,Silver,14000
Mazda,5,S,2007,3,300000,2.0,145,Gasoline,Automatic,FWD,Grey,9000
Mazda,3,Spirit,2023,1,26000,2.0,165,Gasoline,Automatic,FWD,Black,135000
Mazda,3,Premium,2018,3,149000,2.0,165,Gasoline,Automatic,FWD,White,70000
Mazda,5,S,2007,2,267000,2.0,145,Gasoline,Automatic,FWD,Blue,9000
Mazda,Cx 5,,2022,1,90000,2.0,165,Gasoline,Automatic,FWD,White,139000
Mazda,Cx 3,Zoom,2020,3,65000,2.0,156,Gasoline,Automatic,FWD,White,84000
Mazda,2,Active,2009,4,250300,1.5,103,Gasoline,Automatic,FWD,Light blue,12000
Mazda,5,S,2006,2,89000,2.0,145,Gasoline,Automatic,FWD,Blue,11000
Mazda,6,Luxury,2019,2,160000,2.0,165,Gasoline,Automatic,FWD,Black,69900
Mazda,3,Active,2008,3,200000,1.6,105,Gasoline,Automatic,FWD,Beige,12000
Mazda,5,S,2007,3,185000,2.0,145,Gasoline,Automatic,FWD,Silver,11900
Mazda,Cx 5,Executive,2013,3,161826,2.0,155,Gasoline,Automatic,FWD,White,50000
Mazda,5,Executive,2014,4,149000,2.0,144,Gasoline,Automatic,FWD,Silver,44000
Mazda,Cx 5,Executive,2021,2,60000,2.0,165,Gasoline,Automatic,FWD,Black,120000
Mazda,Cx 5,Luxury,2018,2,115000,2.0,165,Gasoline,Automatic,FWD,Black,112000
Mazda,Cx 5,Comfort,2020,2,81000,2.0,165,Gasoline,Automatic,FWD,White,103000
Mazda,3,,2012,4,260000,1.6,105,Gasoline,Automatic,FWD,White,9500
Mazda,3,Premium,2023,2,31000,2.0,165,Gasoline,Automatic,FWD,Silver,135000
Mazda,2,Dynamic,2009,1,241675,1.5,103,Gasoline,Automatic,FWD,White,13000
