manufacturer,model,submodel,year,hand,mileage,engine_liters,horsepower,fuel,transmission,drive_type,body_color,price
Audi,A3,Ambition,2008,4,240000,2.0,200,Gasoline,Robotic,FWD,Grey,16000
Audi,Q2,Assistance,2020,1,44500,1.5,150,Gasoline,Robotic,FWD,Black,126000
Audi,A6,,2012,3,200000,2.8,204,Gasoline,Variable,FWD,Black,40000
Audi,Q2,Design Assistance,2020,2,110000,1.4,150,Gasoline,Robotic,FWD,White,110000
Audi,Q5,Luxury,2014,3,185000,2.0,225,Gasoline,Automatic,AWD,White,69000
Audi,A4,40 TFSI Advanced,2021,1,97000,2.0,204,Gasoline,Robotic,FWD,Grey,155000
Audi,A8,,2011,3,147000,3.0,290,Gasoline,Automatic,AWD,Grey,55000
Audi,Q3,Luxury,2013,3,150000,2.0,170,Gasoline,Robotic,AWD,White,63000
Audi,Q3,Limited,2018,1,100000,2.0,180,Gasoline,Robotic,AWD,White,110000
Audi,A1,Basis,2018,2,79000,1.0,95,Gasoline,Robotic,FWD,White,79999
Audi,Q7,,2017,4,210000,3.0,272,Diesel,Automatic,AWD,White,190000
Audi,Q8,Premium,2019,3,80000,3.0,286,Diesel,Automatic,AWD,Black,299000
Audi,A4,,2010,4,187000,1.8,120,Gasoline,Variable,FWD,White,25900
Audi,Q5,Executive,2016,2,105000,2.0,230,Gasoline,Automatic,AWD,Black,102000
Audi,Q7,Luxury,2016,3,187000,3.0,272,Diesel,Automatic,AWD,Black,150000
Audi,Q3,Luxury,2012,4,190000,2.0,211,Gasoline,Robotic,AWD,Grey,49000
Audi,A3,A3 Sportback S-Line Sharp,2022,2,8450,1.5,150,Gasoline,Robotic,FWD,Black,180000
Audi,A6,,2009,4,234000,2.8,190,Gasoline,Variable,FWD,Blue,25000
Audi,Q5,Executive,2016,2,150000,2.0,180,Gasoline,Automatic,AWD,Grey,89000
Audi,A3,Luxury,2018,3,120000,1.5,150,Gasoline,Robotic,FWD,White,80000
